index,code,year,period,id,Country,population,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
4930,EEA_3161-03-3,2009,2009-01--2009-12,ES030MSPF0711010,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
4931,EEA_3161-02-2,2009,2009-01--2009-12,ES030MSPF0711010,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
4939,EEA_3161-01-1,2009,2009-01--2009-12,ES030MSPF0711010,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
4981,EEA_3161-02-2,2009,2009-01--2009-12,ES12179,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
4985,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0264,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4989,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0143A,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
4999,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0264,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5009,EEA_3161-01-1,2008,2008-01--2008-12,FRDR329B,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5017,EEA_31615-01-7,2008,2008-01--2008-12,FRGR1197,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5018,EEA_3161-02-2,2008,2008-01--2008-12,FRGR1197,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5026,EEA_31615-01-7,2008,2008-01--2008-12,FRGR0143A,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5031,EEA_31615-01-7,2008,2008-01--2008-12,FRGR0264,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5040,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0231,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5043,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0231,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5044,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0231,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5054,EEA_31615-01-7,2008,2008-01--2008-12,FRDR2030,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5055,EEA_3161-02-2,2008,2008-01--2008-12,FRDR2030,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5062,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0143A,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5065,EEA_3161-05-5,2008,2008-01--2008-12,FRGR1197,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5068,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0229,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5075,EEA_31615-01-7,2008,2008-01--2008-12,FRDR312,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5079,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0229,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5081,EEA_3161-01-1,2008,2008-01--2008-12,FRGR1197,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5088,EEA_3161-01-1,2008,2008-01--2008-12,FRDR312,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5115,EEA_3161-05-5,2008,2008-01--2008-12,ES017MSPFES111R042010,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
5123,EEA_3161-01-1,2008,2008-01--2008-12,FRCR333,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5125,EEA_3161-05-5,2008,2008-01--2008-12,FRCR333,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5127,EEA_31615-01-7,2008,2008-01--2008-12,FRCR335,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5128,EEA_3161-02-2,2008,2008-01--2008-12,FRCR335,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5194,EEA_3161-05-5,2009,2009-01--2009-12,FRDR196A,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5200,EEA_3161-03-3,2009,2009-01--2009-12,ES030MSPF0318010,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84
5214,EEA_3161-01-1,2009,2009-01--2009-12,FRAR63,Belgium,377.379590488771,6496961.0,0.0,0.0,14.18,3.1,1.91,40.14,18.38,13.94,0.0,5.84,34.303000000000004
5219,EEA_3161-02-2,2009,2009-01--2009-12,FRDR196B,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5223,EEA_31615-01-7,2009,2009-01--2009-12,FRDR182,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5226,EEA_31615-01-7,2009,2009-01--2009-12,FRDR136B,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5227,EEA_31615-01-7,2009,2009-01--2009-12,FRDR11502,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5230,EEA_31615-01-7,2009,2009-01--2009-12,FRDR185,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5231,EEA_3161-01-1,2009,2009-01--2009-12,FRDR182,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5236,EEA_31615-01-7,2009,2009-01--2009-12,FRDR187,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5237,EEA_3161-02-2,2009,2009-01--2009-12,FRDR187,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5239,EEA_3161-05-5,2009,2009-01--2009-12,FRDR11359,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5240,EEA_31615-01-7,2009,2009-01--2009-12,FRDR11359,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
